,method,iter,train_test,n,p,mse,r2
0,ConstantImputedLR,0,train,750.0,4,3.6172746611371083,0.628224177868407
1,ConstantImputedLR,0,test,750.0,4,3.37517193461997,0.6175202233063537
2,ExpandedLR,0,train,750.0,4,3.143310493851758,0.6769372103197595
3,ExpandedLR,0,test,750.0,4,2.826507052812366,0.679695788148222
4,EMLR,0,train,750.0,4,3.274048966300773,0.6635001872478975
5,EMLR,0,test,750.0,4,2.767657633266019,0.6863646966609291
6,MICELR,0,train,750.0,4,3.4977993077721217,0.6405036014352554
7,MICELR,0,test,750.0,4,2.9328264924836716,0.6676475025108111
8,"MLP W0.3, D1",0,train,750.0,4,3.9045491393897405,0.5986987159295497
9,"MLP W0.3, D1",0,test,750.0,4,3.4352408424921994,0.6107131204641133
10,"MLP W0.5, D1",0,train,750.0,4,3.3760218135667306,0.6530196341578307
11,"MLP W0.5, D1",0,test,750.0,4,3.0353193671699366,0.6560328492184577
12,"MLP W1, D1",0,train,750.0,4,3.5699643688631526,0.6330866294246587
13,"MLP W1, D1",0,test,750.0,4,3.263397762705175,0.6301866477558986
14,"MLP W2, D1",0,train,750.0,4,3.141751145640973,0.6770974768235123
15,"MLP W2, D1",0,test,750.0,4,2.8660064999647576,0.6752196488525004
16,"MLP W4, D1",0,train,750.0,4,3.0610153919801504,0.6853953264491282
17,"MLP W4, D1",0,test,750.0,4,2.917452571879754,0.6693896993035662
18,ConstantImputedLR,0,train,3750.0,4,3.7767146143157464,0.6144422646440478
19,ConstantImputedLR,0,test,3750.0,4,3.982878979925059,0.5932793891255149
20,ExpandedLR,0,train,3750.0,4,3.1837035239472646,0.6749816583744528
21,ExpandedLR,0,test,3750.0,4,3.429444901480085,0.6497945500426394
22,EMLR,0,train,3750.0,4,3.204589206457043,0.6728494780875681
23,EMLR,0,test,3750.0,4,3.4047464719318823,0.6523166855140201
24,MICELR,0,train,3750.0,4,3.365438133748793,0.6564287117670297
25,MICELR,0,test,3750.0,4,3.576837080760825,0.6347432674158416
26,"MLP W0.3, D1",0,train,3750.0,4,3.793730780928872,0.6127051160019641
27,"MLP W0.3, D1",0,test,3750.0,4,3.9886465220173473,0.5926904236422945
28,"MLP W0.5, D1",0,train,3750.0,4,3.4233286500917752,0.6505187771653571
29,"MLP W0.5, D1",0,test,3750.0,4,3.732447602133868,0.6188527503726821
30,"MLP W1, D1",0,train,3750.0,4,3.28996496171199,0.664133626822125
31,"MLP W1, D1",0,test,3750.0,4,3.587553462988308,0.6336489400340921
32,"MLP W2, D1",0,train,3750.0,4,3.2129623664219262,0.671994677838273
33,"MLP W2, D1",0,test,3750.0,4,3.5216752167643905,0.6403762447507511
34,"MLP W4, D1",0,train,3750.0,4,3.165945810165718,0.6767945101808245
35,"MLP W4, D1",0,test,3750.0,4,3.494862484465049,0.6431142869847652
36,ConstantImputedLR,0,train,7500.0,4,3.854460715763821,0.6136279522333987
37,ConstantImputedLR,0,test,7500.0,4,4.2558581221194105,0.5874012103734167
38,ExpandedLR,0,train,7500.0,4,3.20813535716392,0.6784157580357574
39,ExpandedLR,0,test,7500.0,4,3.6335018994127766,0.647737672923877
40,EMLR,0,train,7500.0,4,3.2233165854920123,0.676893988141269
41,EMLR,0,test,7500.0,4,3.6345396056570904,0.6476370689262563
42,MICELR,0,train,7500.0,4,3.4086472652834217,0.6583163972549151
43,MICELR,0,test,7500.0,4,3.782732799209947,0.6332699705558912
44,"MLP W0.3, D1",0,train,7500.0,4,3.8543979840455678,0.6136342404755755
45,"MLP W0.3, D1",0,test,7500.0,4,4.249858059045441,0.5879829071055367
46,"MLP W0.5, D1",0,train,7500.0,4,3.561336325926542,0.6430108099412433
