,method,iter,train_test,n,p,mse,r2
0,ConstantImputedLR,0,train,750.0,4,0.9543332843161977,0.8270346717291546
1,ConstantImputedLR,0,test,750.0,4,0.8091307447205404,0.8459315258446456
2,ExpandedLR,0,train,750.0,4,0.6851403819430206,0.8758237472988286
3,ExpandedLR,0,test,750.0,4,0.6405824891716438,0.8780251926882335
4,EMLR,0,train,750.0,4,1.1154121616026562,0.7978404045425976
5,EMLR,0,test,750.0,4,0.9615356159434194,0.8169117585000465
6,MICELR,0,train,750.0,4,1.1021978010186273,0.80023540244728
7,MICELR,0,test,750.0,4,0.9284282121080121,0.8232158165592024
8,"MLP W0.3, D1",0,train,750.0,4,1.1607568801242407,0.7896220344476526
9,"MLP W0.3, D1",0,test,750.0,4,1.0319071629124992,0.8035121479473383
10,"MLP W0.5, D1",0,train,750.0,4,0.8765379849023466,0.8411344518816272
11,"MLP W0.5, D1",0,test,750.0,4,0.7561657534395759,0.8560167134902197
12,"MLP W1, D1",0,train,750.0,4,0.84267373297192,0.8472720785871546
13,"MLP W1, D1",0,test,750.0,4,0.7151156639474204,0.8638331568688254
14,"MLP W2, D1",0,train,750.0,4,0.7674270225126838,0.8609099472330215
15,"MLP W2, D1",0,test,750.0,4,0.6767332018503269,0.8711416510871082
16,"MLP W4, D1",0,train,750.0,4,0.6870187696931459,0.8754833044376608
17,"MLP W4, D1",0,test,750.0,4,0.6513890920710368,0.8759674822003106
18,ConstantImputedLR,0,train,3750.0,4,0.9787363440345465,0.8296107335882333
19,ConstantImputedLR,0,test,3750.0,4,0.9856494356971661,0.8127215301852899
20,ExpandedLR,0,train,3750.0,4,0.6633696738052013,0.884513257560719
21,ExpandedLR,0,test,3750.0,4,0.7505696608017735,0.8573878982998882
22,EMLR,0,train,3750.0,4,1.054985608692563,0.816336416813646
23,EMLR,0,test,3750.0,4,1.0929064378825029,0.7923421472944805
24,MICELR,0,train,3750.0,4,1.0366904298468882,0.8195214442435425
25,MICELR,0,test,3750.0,4,1.0763902621279613,0.7954803057618605
26,"MLP W0.3, D1",0,train,3750.0,4,0.9936013466933348,0.8270228692326511
27,"MLP W0.3, D1",0,test,3750.0,4,1.0099601092020805,0.8081023769962608
28,"MLP W0.5, D1",0,train,3750.0,4,0.9229231303756803,0.8393273161892384
29,"MLP W0.5, D1",0,test,3750.0,4,0.9505487280752295,0.8193908454354937
30,"MLP W1, D1",0,train,3750.0,4,0.7183263603391211,0.874945788691283
31,"MLP W1, D1",0,test,3750.0,4,0.7680256485560991,0.8540711707116233
32,"MLP W2, D1",0,train,3750.0,4,0.6865952162083538,0.8804698978181192
33,"MLP W2, D1",0,test,3750.0,4,0.7649000567639008,0.8546650492519121
34,"MLP W4, D1",0,train,3750.0,4,0.6671193074044798,0.8838604798007144
35,"MLP W4, D1",0,test,3750.0,4,0.7537352475175525,0.856786420518107
36,ConstantImputedLR,0,train,7500.0,4,0.9423422521433277,0.8332715216198887
37,ConstantImputedLR,0,test,7500.0,4,0.9727938731822995,0.8355774588915019
38,ExpandedLR,0,train,7500.0,4,0.6557186120699787,0.8839838008034923
39,ExpandedLR,0,test,7500.0,4,0.6915217541886732,0.8831183386429488
40,EMLR,0,train,7500.0,4,1.0141580862788442,0.8205651564730652
41,EMLR,0,test,7500.0,4,1.0456953786779895,0.8232555774378035
42,MICELR,0,train,7500.0,4,0.9967998932490699,0.8236363390552958
43,MICELR,0,test,7500.0,4,1.0134189258820787,0.8287109740361717
44,"MLP W0.3, D1",0,train,7500.0,4,0.9559163849424047,0.8308698522669842
45,"MLP W0.3, D1",0,test,7500.0,4,0.986566982940456,0.8332495148451501
46,"MLP W0.5, D1",0,train,7500.0,4,0.7323279595466556,0.8704293200345063
47,"MLP W0.5, D1",0,test,7500.0,4,0.7669478989771192,0.8703697402666412
